paiva,suunnitellut,ajetut,ajamatta,luotettavuus,Nobina Finland,Koiviston Auto,Pohjolan Liikenne,Tammelundin Liikenne
2026-02-02,19652,18753,899,95.43,97.43,98.55,88.89,100.0
2026-02-03,19654,19036,618,96.86,97.94,98.95,92.72,99.91
2026-02-03,19654,19036,618,96.86,97.94,98.95,92.72,99.91
2026-02-03,19654,19036,618,96.86,97.94,98.95,92.72,99.91
2026-02-03,19654,19036,618,96.86,97.94,98.95,92.72,99.91
2026-02-03,19654,19036,618,96.86,97.94,98.95,92.72,99.91
2026-02-04,19655,19092,563,97.14,96.64,99.21,94.96,100.0
2026-02-04,19655,19092,563,97.14,96.64,99.21,94.96,100.0
2026-02-04,19655,19092,563,97.14,96.64,99.21,94.96,100.0
2026-02-04,19655,19092,563,97.14,96.64,99.21,94.96,100.0
2026-02-04,19655,19092,563,97.14,96.64,99.21,94.96,100.0
2026-02-05,19651,19239,412,97.9,98.0,98.89,96.23,100.0
2026-02-05,19651,19239,412,97.9,98.0,98.89,96.23,100.0
2026-02-05,19651,19239,412,97.9,98.0,98.89,96.23,100.0
2026-02-05,19651,19239,412,97.9,98.0,98.89,96.23,100.0
2026-02-06,20084,19582,502,97.5,97.66,98.49,96.01,99.66
2026-02-06,20084,19582,502,97.5,97.66,98.49,96.01,99.66
2026-02-06,20084,19582,502,97.5,97.66,98.49,96.01,99.66
2026-02-06,20084,19582,502,97.5,97.66,98.49,96.01,99.66
2026-02-07,14024,13833,191,98.64,98.83,97.43,99.18,100.0
2026-02-07,14024,13833,191,98.64,98.83,97.43,99.18,100.0
2026-02-07,14024,13833,191,98.64,98.83,97.43,99.18,100.0
2026-02-07,14024,13833,191,98.64,98.83,97.43,99.18,100.0
2026-02-08,11602,11457,145,98.75,99.11,97.21,99.44,100.0
2026-02-08,11602,11457,145,98.75,99.11,97.21,99.44,100.0
2026-02-08,11602,11457,145,98.75,99.11,97.21,99.44,100.0
2026-02-08,11602,11457,145,98.75,99.11,97.21,99.44,100.0
2026-02-09,19641,19288,353,98.2,98.96,98.41,96.75,100.0
2026-02-09,19641,19288,353,98.2,98.96,98.41,96.75,100.0
2026-02-09,19641,19288,353,98.2,98.96,98.41,96.75,100.0
2026-02-09,19641,19288,353,98.2,98.96,98.41,96.75,100.0
2026-02-10,19641,19345,296,98.49,98.99,99.36,97.13,98.62
2026-02-10,19641,19345,296,98.49,98.99,99.36,97.13,98.62
2026-02-10,19641,19345,296,98.49,98.99,99.36,97.13,98.62
2026-02-11,19653,19372,281,98.57,99.14,98.75,97.47,100.0
2026-02-11,19653,19372,281,98.57,99.14,98.75,97.47,100.0
2026-02-11,19653,19372,281,98.57,99.14,98.75,97.47,100.0
2026-02-12,19640,19156,484,97.54,99.13,98.29,94.39,100.0
2026-02-12,19640,19156,484,97.54,99.13,98.29,94.39,100.0
2026-02-12,19640,19156,484,97.54,99.13,98.29,94.39,100.0
2026-02-13,20061,19609,452,97.75,99.39,97.24,95.71,100.0
2026-02-13,20061,19609,452,97.75,99.39,97.24,95.71,100.0
2026-02-13,20061,19609,452,97.75,99.39,97.24,95.71,100.0
2026-02-14,14022,13955,67,99.52,99.54,99.6,99.3,100.0
2026-02-14,14022,13955,67,99.52,99.54,99.6,99.3,100.0
2026-02-14,14022,13955,67,99.52,99.54,99.6,99.3,100.0
